DateTime,Unnamed: 0,SoilMoisture_0.05m,SoilMoisture_0.1m,SoilMoisture_0.2m,SoilMoisture_0.3m,GWETPROF,PRECTOTCORR,T2M,Water_Absorbed_By_Wheat
2017-01-01,3647,0.2555833333333333,0.3007916666666666,0.2613333333333333,0.2812083333333333,0.54,0.01,3.75,0.0
2017-01-02,3648,0.2550833333333333,0.3007916666666666,0.261375,0.281,0.54,0.03,1.43,0.0
2017-01-03,3649,0.254875,0.30075,0.2615833333333333,0.281,0.54,0.0,0.26,0.0
2017-01-04,3650,0.253,0.2999583333333333,0.2607916666666667,0.281,0.53,0.0,-0.69,0.0
2017-01-05,3651,0.2508333333333333,0.29875,0.2599166666666667,0.2802916666666666,0.53,0.07,-0.28,0.0
2017-01-06,3652,0.2483333333333333,0.2970833333333333,0.2581666666666666,0.2793333333333334,0.53,0.01,-1.1,0.0
2017-01-07,3653,0.2464583333333333,0.295375,0.2566666666666666,0.278625,0.53,0.02,-0.95,0.0
2017-01-08,3654,0.2456666666666666,0.2947083333333333,0.2557083333333333,0.278,0.53,0.02,0.8,0.0
2017-01-09,3655,0.2460833333333333,0.295,0.2569166666666667,0.2782916666666666,0.53,0.24,1.93,0.0
2017-01-10,3656,0.2786666666666667,0.31675,0.2865416666666666,0.3049583333333334,0.54,12.14,3.99,0.0
2017-01-11,3657,0.281125,0.3210833333333333,0.2991666666666666,0.3233333333333333,0.55,2.52,6.51,0.0
2017-01-12,3658,0.2905,0.3274583333333333,0.3081666666666666,0.3324583333333333,0.55,3.52,9.03,0.0
2017-01-13,3659,0.2906666666666667,0.3270833333333333,0.3077916666666666,0.3326666666666666,0.56,5.2,3.31,0.0
2017-01-14,3660,0.2746666666666666,0.3172916666666667,0.2970833333333333,0.3238333333333333,0.56,2.04,1.08,0.0
2017-01-15,3661,0.270125,0.3136666666666667,0.2911666666666666,0.31825,0.56,7.25,2.61,0.0
2017-01-16,3662,0.2885416666666666,0.32475,0.3010833333333333,0.3252916666666667,0.58,6.15,2.59,0.0
2017-01-17,3663,0.2725833333333333,0.31625,0.2946666666666666,0.322,0.58,0.47,-3.18,0.0
2017-01-18,3664,0.2637916666666667,0.3109583333333333,0.2879583333333333,0.316,0.58,0.0,-3.98,0.0
2017-01-19,3665,0.2571666666666667,0.3077916666666666,0.2839583333333333,0.312,0.58,0.0,-1.8,0.0
2017-01-20,3666,0.2585416666666666,0.3064583333333333,0.2816666666666667,0.3092499999999999,0.58,0.63,1.09,0.0
2017-01-21,3667,0.2606666666666666,0.307,0.281,0.308125,0.58,0.13,2.84,0.0
2017-01-22,3668,0.2684583333333333,0.3099166666666667,0.2800833333333333,0.3070416666666666,0.58,1.94,1.98,0.0
2017-01-23,3669,0.2923333333333333,0.3260833333333333,0.2982083333333333,0.3195416666666666,0.58,2.07,1.87,0.0
2017-01-24,3670,0.2769166666666667,0.3190416666666666,0.296875,0.3230833333333333,0.58,0.01,0.02,0.0
2017-01-25,3671,0.2692916666666666,0.314,0.2909166666666666,0.3182916666666667,0.58,0.03,-1.42,0.0
2017-01-26,3672,0.2649166666666667,0.3111666666666666,0.2870833333333333,0.31475,0.58,0.07,1.23,0.0
2017-01-27,3673,0.2643333333333333,0.3107916666666666,0.2850416666666666,0.313,0.58,2.06,7.91,0.0
2017-01-28,3674,0.271625,0.3116666666666667,0.2851666666666666,0.3120833333333333,0.59,4.82,6.3,0.0
2017-01-29,3675,0.2705416666666667,0.312625,0.28575,0.312,0.59,0.01,6.12,0.0
2017-01-30,3676,0.2665,0.311,0.2855833333333333,0.3112083333333333,0.59,0.19,7.33,0.0
2017-01-31,3677,0.2647083333333334,0.3102083333333333,0.2851249999999999,0.311,0.59,0.01,8.21,0.0
2017-02-01,3678,0.2635833333333333,0.3096666666666667,0.2856249999999999,0.3106666666666666,0.58,0.09,9.19,0.0
2017-02-02,3679,0.2656666666666666,0.308625,0.285,0.3094583333333333,0.58,2.11,9.32,0.0
2017-02-03,3680,0.2808333333333333,0.3159583333333333,0.2852916666666666,0.3095,0.59,4.56,7.53,0.0
2017-02-04,3681,0.290875,0.325625,0.29775,0.31925,0.59,8.49,8.89,0.0
2017-02-05,3682,0.29875,0.3319583333333333,0.311875,0.3374999999999999,0.61,16.84,7.01,0.0
2017-02-06,3683,0.278875,0.3201666666666666,0.2997916666666666,0.326875,0.62,2.03,5.75,0.0
2017-02-07,3684,0.2942083333333333,0.326875,0.3040416666666666,0.328625,0.62,4.5,8.28,0.0
2017-02-08,3685,0.294,0.3285,0.3077916666666666,0.333375,0.62,5.51,4.05,0.0
2017-02-09,3686,0.2806666666666667,0.3212083333333334,0.3002499999999999,0.32725,0.62,0.27,2.86,0.0
2017-02-10,3687,0.275,0.3176,0.2961999999999999,0.3234,0.62,0.0,5.63,0.0
2017-02-11,3688,0.266993106884058,0.3118436594202898,0.2791201268115942,0.3128080027173913,0.62,0.23,7.65,0.0
2017-02-12,3689,0.2661989923007246,0.3100044427191166,0.2793515579710144,0.3132164127199793,0.62,0.22,10.95,0.0
2017-02-13,3690,0.2626,0.3095,0.2889,0.3142,0.62,2.47,11.69,0.0
2017-02-14,3691,0.2777916666666666,0.3134583333333333,0.2886249999999999,0.313625,0.62,5.82,10.9,0.0
2017-02-15,3692,0.2764583333333333,0.3159583333333333,0.2912499999999999,0.315,0.62,0.1,10.35,0.0
2017-02-16,3693,0.2704583333333333,0.3132083333333333,0.2906666666666666,0.315,0.62,0.01,9.58,0.0
2017-02-17,3694,0.2658333333333333,0.3108333333333333,0.2892083333333333,0.3134583333333333,0.62,0.01,9.34,0.0
